YEAR,POPULATION,RATEBIRTH,RATEDEATH
1950,376325200,44.175,28.161
1951,382376948,43.970,27.584
1952,388799073,43.764,27.008
1953,395544369,43.558,26.432
1954,402578596,43.352,25.856
1955,409880595,43.146,25.280
1956,417442811,42.941,24.703
1957,425270695,42.735,24.127
1958,433380978,42.529,23.551
1959,441798578,42.298,23.016
1960,450547679,42.066,22.481
1961,459642165,41.835,21.946
1962,469077190,41.603,21.411
1963,478825608,41.372,20.876
1964,488848135,41.051,20.374
1965,499123324,40.731,19.873
1966,509631500,40.410,19.371
1967,520400576,40.090,18.870
1968,531513824,39.769,18.368
1969,543084336,39.500,17.911
1970,555189792,39.231,17.454
1971,567868018,38.961,16.997
1972,581087256,38.692,16.540
1973,594770134,38.423,16.083
1974,608802600,38.071,15.676
1975,623102897,37.718,15.269
1976,637630087,37.366,14.862
1977,652408776,37.013,14.455
1978,667499806,36.661,14.048
1979,682995354,36.438,13.773
1980,698952844,36.216,13.498
1981,715384993,35.993,13.223
1982,732239504,35.771,12.948
1983,749428958,35.548,12.673
1984,766833410,35.040,12.451
1985,784360008,34.532,12.229
1986,801975244,34.025,12.008
1987,819682102,33.517,11.786
1988,837468930,33.009,11.564
1989,855334678,32.413,11.286
1990,873277798,31.817,11.007
1991,891273209,31.220,10.729
1992,909307016,30.624,10.450
1993,927403860,30.028,10.172
1994,945601831,29.536,9.956
1995,963922588,29.044,9.739
1996,982365243,28.551,9.523
1997,1000900030,28.059,9.306
1998,1019483581,27.567,9.090
1999,1038058156,27.101,8.947
2000,1056575549,26.635,8.804
2001,1075000085,26.170,8.661
2002,1093317189,25.704,8.518
2003,1111523144,25.238,8.375
2004,1129623456,24.752,8.261
2005,1147609927,24.266,8.147
2006,1165486291,23.779,8.034
2007,1183209472,23.293,7.920
2008,1200669765,22.807,7.806
2009,1217726215,22.158,7.697
2010,1234281170,21.508,7.589
2011,1250287943,20.859,7.480
2012,1265780247,20.209,7.372
2013,1280842125,19.560,7.263
2014,1295600772,19.252,7.258
2015,1310152403,18.944,7.253
2016,1324517249,18.636,7.247
2017,1338676785,18.328,7.242
2018,1352642280,18.020,7.237
2019,1366417754,17.806,7.273
2020,1380004385,17.592,7.309
2021,1393409038,17.377,7.344
2022,1406631776,17.163,7.830